Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
A2M	"CPAMD5, FWP007, S863-7"	ENSG00000175899	Alpha-2-macroglobulin	P01023	12	9067664-9116229	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.21e-1)"	0.29	0.86	0.06	0.63	0.65	296.8
A4GALT	"A14GALT, Gb3S, P(k), P1"	ENSG00000128274	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	22	42692121-42721298	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.57e-2)"	0.38	"Not detected"	0.15	0.62	0.86	27.2
AAAS		ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	12	53307456-53324864	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.75e-2)"	0.19	0.15	0.11	0.34	0.27	18.4
AACS	"ACSF1, FLJ12389, SUR-5"	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	12	125065434-125143333	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.63e-2)"	0.38	0.46	0.22	0.41	0.30	6.0
AADAT	"KAT2, KATII, KYAT2"	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	4	170060222-170091699	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Aminotransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.15e-1)"	0.58	"Not detected"	0.19	0.72	0.34	10.2
AAGAB	"FLJ11506, p34"	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	15	67200667-67255195	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.47e-2)"	0.15	0.17	0.06	0.28	0.14	14.3
AAK1	"DKFZp686K16132, KIAA1048"	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	2	69457997-69674349	"Enzymes, Predicted intracellular proteins"	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.12e-2)"	0.47	0.51	0.14	0.38	0.12	9.5
AAMDC	"C11orf67, CK067, FLJ21035, PTD015"	ENSG00000087884	"Adipogenesis associated Mth938 domain containing"	Q9H7C9	11	77821109-77918432	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.87e-1)"	0.41	0.35	0.09	0.31	0.22	39.9
AAMP		ENSG00000127837	"Angio associated migratory cell protein"	Q13685	2	218264129-218270178	"Plasma proteins, Predicted intracellular proteins"	"Angiogenesis, Differentiation"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.53e-2)"	0.08	0.13	0.03	0.29	0.14	59.6
AAR2	"bA234K24.2, C20orf4"	ENSG00000131043	"AAR2 splicing factor"	Q9Y312	20	36236131-36270918	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.88e-1)"	0.10	0.09	0.10	0.26	0.19	24.7
AARS1	"AARS, AlaRS, CMT2N"	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	16	70251983-70289707	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Charcot-Marie-Tooth disease, Disease variant, Epilepsy, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.11e-2)"	0.19	0.29	0.07	0.29	0.11	48.1
AARS2	"AARSL, bA444E17.1, KIAA1270"	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	6	44298731-44313347	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Cancer-related genes, Cardiomyopathy, Disease variant, Neurodegeneration, Premature ovarian failure, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.77e-2)"	0.20	0.37	0.13	0.43	0.17	5.9
AARSD1	"AlaXp, MGC2744"	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	17	42950526-42964498	"Predicted intracellular proteins"	"Protein biosynthesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.13e-1)"	0.27	0.19	0.11	0.53	0.12	20.0
AASDH	"ACSF4, LYS2, NRPS998"	ENSG00000157426	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	4	56338287-56387508	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.00e-2)"	0.27	0.31	0.10	0.28	0.16	6.2
AASDHPPT	"AASD-PPT, ACPS, CGI-80, LYS5"	ENSG00000149313	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7	11	106075501-106098699	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.30e-3)"	0.22	0.24	0.07	0.43	0.10	19.7
AASS	"LKRSDH, LORSDH"	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	7	122064583-122144308	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Multifunctional enzyme, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.04e-1)"	0.50	"Not detected"	0.22	0.48	0.44	9.2
AATF	"BFR2, CHE-1, CHE1, DED"	ENSG00000275700	"Apoptosis antagonizing transcription factor"	Q9NY61	17	36948925-37056871	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.25e-1)"	0.13	0.10	0.11	0.32	0.20	24.8
